country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4790,5370,6010,6770,7990,9520,11.3k,11.8k,10.3k,10.5k,11.9k,13k,14k,14.8k,15.3k,16.2k,17.6k,19.2k,20.5k,20.4k,23.2k,26.5k
Ethiopia,,,,,,,,,,,,,,,,,,,,,,423,428,463,426,485,490,506,504,511,523,555,562,694,712,827,905,901,845,883,995,987,937,1000,1150,1380,1660,2120,2970,3890,4310,5600,7890,8910,10.6k,12.6k,14.8k,16.8k,19.7k,23.4k,28.6k,35.9k,49.7k
Finland,635,714,758,817,916,1010,1080,1170,1340,1530,1760,1930,2230,2700,3390,3890,4400,4790,5290,6130,7060,7910,8820,9770,10.9k,11.8k,12.7k,13.7k,15.5k,17.1k,17.9k,16.9k,16.1k,16.1k,17.1k,18.7k,19.5k,21.2k,22.9k,24.3k,26.2k,27.9k,28.6k,28.9k,30.6k,31.5k,33.1k,35.5k,36.6k,34.5k,35.5k,36.9k,37.3k,37.7k,38.3k,39k,39.8k,41.1k,42.5k,43.7k,43.8k,45.9k,47.9k
Fiji,214,216,219,221,237,239,242,256,275,293,348,375,460,599,791,954,1050,1090,1140,1340,1500,1580,1590,1610,1750,1790,1960,1920,2050,2230,2450,2530,2830,3090,3220,3430,3700,3680,3900,4480,4380,4430,4760,5080,5420,5840,5790,5970,6110,6200,6450,7220,7520,8280,9550,10.1k,10.6k,11.1k,11.9k,11.8k,9890,9060,11.1k
France,1010,1080,1200,1330,1460,1560,1670,1790,1930,2200,2440,2700,2980,3390,3930,4400,5070,5670,6420,7300,8270,9270,10.5k,11.6k,12.5k,13.4k,14.4k,15.1k,16.2k,17.3k,18.2k,18.7k,19.3k,19.4k,20k,20.5k,21.1k,21.8k,22.8k,23.6k,24.7k,25.5k,26k,26.5k,27.5k,28.4k,29.6k,30.9k,31.6k,30.6k,31.4k,32.3k,32.5k,32.8k,33.1k,33.7k,34.2k,35.1k,36k,36.9k,34.7k,38k,40k
Faeroe Islands,5690,6250,6720,7930,8890,9910,10.9k,11.2k,11.7k,12.3k,14.9k,17k,19k,21.9k,27.1k,29.3k,35.7k,44.9k,46.5k,49k,57.5k,64.8k,74.6k,89.2k,94.5k,102k,113k,121k,,,,,,,,,,,170k,181k,196k,214k,222k,216k,224k,226k,257k,271k,264k,248k,274k,293k,306k,329k,350k,364k,397k,405k,406k,435k,417k,445k,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,1330,,,,,,,,,,2060,2050,2110,2070,1880,1970,2030,2140,2200,2200,2230,2220,2330,2380,2440,2490,2750,2860,2970,3170,3160,3160,3430,3520,3770,3720,4110,4050,3930,4150
Gabon,64.4k,75.1k,79.8k,83.4k,89.4k,92.2k,99.7k,107k,115k,131k,142k,162k,163k,233k,526k,648k,997k,940k,685k,777k,1.09M,1.25M,1.38M,1.45M,1.75M,1.62M,1.24M,1.01M,1.14M,1.32M,1.48M,1.35M,1.24M,1.23M,1.87M,1.91M,2.19M,2.28M,1.94M,2.03M,2.4M,2.46M,2.51M,2.44M,2.45M,3.12M,3.12M,3.28M,3.74M,3.05M,3.61M,4.18M,4.3M,4.13M,4.33M,3.84M,3.67M,3.79M,3.99M,4.05M,3.64M,4.04M,4.97M
Isle of Man,,,,,,,,,,,709,698,826,1030,1140,1380,1760,1970,2150,2570,2990,3160,3090,3480,3590,3760,4480,5180,5930,6650,7390,7870,8160,8260,8560,9110,9900,11k,12.3k,13.8k,14.6k,15.8k,17k,18.4k,20.3k,21.8k,24.2k,26.9k,28.9k,29.7k,46.2k,49.5k,51.2k,54.7k,55.5k,53.5k,54.2k,59.2k,63.6k,65k,60.6k,,
UK,,,,,,,,,,,1060,1180,1310,1520,1710,2150,2550,2930,3380,3960,4600,5060,5530,6080,6530,7070,7630,8380,9360,10.2k,11k,11.6k,12.1k,12.7k,13.6k,14.3k,15.2k,16.1k,17.2k,17.7k,18.7k,19.5k,20.3k,21.4k,22.2k,23.4k,24.1k,25k,25.5k,24.7k,25.7k,26.4k,26.6k,27.3k,28.3k,28.9k,29.8k,31.2k,32k,33.5k,30.7k,33.8k,37.4k
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0304,3.28,183,499,841,1090,1250,1440,1500,1670,1880,2170,2540,3010,3630,4420,4930,4700,5660,6590,7230,7550,8260,8900,9170,10.4k,11.5k,12.7k,12.6k,15.2k,18.1k
Ghana,0.0124,0.0129,0.0134,0.0145,0.016,0.0185,0.0187,0.0179,0.0196,0.0226,0.025,0.0269,0.0297,0.0361,0.0467,0.0513,0.0616,0.103,0.188,0.244,0.36,0.593,0.685,1.4,2.01,2.47,3.58,5.07,6.98,9.2,12.2,15,17,22.8,29.9,43.5,62.2,75.8,90.5,105,134,185,230,303,357,427,805,971,1240,1460,1770,2210,2660,4400,5330,6170,7140,8270,9550,10.8k,12.3k,13.6k,18k
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,108k,141k,179k,218k,262k,325k,415k,433k,445k,480k,494k,513k,537k,574k,612k,633k,672k,724k,843k,1.06M,2.31M,2.73M,3.23M,3.14M,3.78M,4.21M,4.87M,4.98M,5.26M,5.57M,6.35M,7.63M,8.22M,9.18M,9.21M,9.98M,11.9M
Gambia,,,,,,,167,177,172,183,206,206,205,218,272,339,399,491,531,555,568,576,625,662,775,1140,1670,1920,1900,2030,2210,5400,5490,5740,5790,5920,6370,6040,6400,6410,6700,6960,7130,8460,17.5k,17.3k,16.9k,17.7k,18.7k,20.2k,21.9k,20.3k,21.6k,22.8k,22.9k,25.4k,27.3k,28.9k,32.3k,35.6k,35.7k,38.8k,43.9k
Guinea-Bissau,,,,,,,,,,,73.1,71.1,79.2,87.4,96.3,108,98.6,90,101,109,96.6,120,142,169,290,436,813,1530,2800,5840,8060,13.6k,22.2k,32.5k,40.3k,58.7k,89.6k,127k,95.8k,107k,207k,219k,221k,206k,204k,220k,217k,229k,256k,252k,267k,324k,307k,298k,309k,355k,390k,418k,419k,437k,416k,442k,490k
Equatorial Guinea,,,8060,9380,10.8k,13.2k,13.8k,14.5k,15k,14.8k,14.8k,14.6k,13.7k,15.9k,18.8k,21.2k,25.2k,29.2k,,,19.1k,18.7k,24k,34.5k,42.4k,68.8k,61.7k,63.8k,64.5k,57.6k,69.9k,70.8k,79.1k,80.9k,95k,105k,165k,373k,272k,489k,702k,599k,759k,680k,947k,2.55M,4.59M,5.28M,6.59M,4.5M,4.33M,5.69M,6.35M,5.96M,5.64M,4.37M,3.69M,3.6M,3.71M,3.14M,2.69M,3.1M,3.25M
Greece,46.5,52.8,55.2,62.2,70.3,80.4,89,95.4,103,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4k,20.5k,21.2k,20.9k,19.7k,17.8k,17.2k,16.4k,16.4k,16.3k,16.1k,16.4k,16.5k,16.9k,15.4k,17k,19.6k
Grenada,,,,,,,,,,,,,,,,,,1970,2450,2850,3100,3140,3360,3500,3810,4360,4870,5590,6220,7010,7260,7950,8150,7960,8280,8530,9050,9600,10.7k,11.5k,12.2k,12k,12.3k,13.4k,13.2k,16.3k,16.3k,17.3k,18.8k,16.9k,17.3k,17.5k,17.8k,18.9k,19k,20k,21.7k,22.4k,23.3k,24.1k,21.2k,22.6k,25.3k
Greenland,,,,,,,,,,,10.1k,12.5k,13.8k,15.6k,18.9k,22.1k,26.4k,30.9k,36k,40.2k,48.1k,55.2k,60.7k,66.6k,69.1k,76.6k,83.7k,92.2k,102k,115k,105k,109k,105k,102k,109k,116k,121k,123k,134k,137k,150k,156k,159k,161k,168k,175k,174k,197k,,,,,,,,,,,,,,,
Guatemala,250,250,258,277,276,276,280,284,305,316,342,348,359,431,519,584,689,851,922,1030,1140,1210,1180,1200,1210,1390,1900,2070,2340,2630,3690,5030,5580,6490,7360,8190,8930,9860,11.1k,11.8k,12.8k,12.1k,13k,13.6k,14.5k,15.5k,16.7k,18.6k,20.8k,21.2k,22.4k,24.4k,25.7k,27k,28.5k,29.8k,31k,32k,33k,35.1k,35k,37.9k,41.6k
Guyana,468,504,493,441,480,519,537,583,609,658,699,740,799,840,1230,1550,1430,1390,1570,1610,1800,1820,1620,1620,1780,2140,2330,3370,4210,9260,15.3k,32.1k,44.2k,63.2k,84.5k,101k,122k,127k,132k,147k,161k,163k,168k,178k,197k,212k,610k,727k,813k,855k,938k,1.01M,1.12M,1.15M,1.14M,1.18M,1.22M,1.28M,1.26M,1.34M,1.4M,1.98M,3.67M
"Hong Kong, China",2300,2590,2810,3110,3480,3870,3920,4150,4330,5010,5810,6570,7760,9690,10.7k,11k,13.9k,15.9k,18.3k,22.7k,28k,32.9k,36.6k,39.8k,47.5k,49.8k,56.6k,68.9k,80.9k,92.1k,102k,116k,134k,159k,174k,183k,190k,211k,204k,199k,202k,201k,194k,191k,198k,208k,224k,246k,260k,245k,258k,281k,289k,304k,319k,335k,348k,375k,399k,398k,379k,414k,411k
Honduras,331,332,348,356,386,412,432,453,476,481,503,493,525,577,651,678,774,930,1690,1860,2010,1990,2020,2080,2220,2320,2420,2560,2760,3060,3780,4470,4740,5570,6580,8390,9820,11.8k,13.2k,13.9k,15.5k,16.7k,17.7k,18.9k,20.8k,23.2k,25.3k,28.5k,31.4k,32.6k,33.8k,36.8k,38.3k,39.1k,41.8k,46.2k,48.7k,53k,54.1k,56.9k,53.8k,60.6k,68.6k
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3800,4330,4800,4840,5260,5860,6460,7000,7680,8190,8910,9780,10.4k,9930,9950,10.2k,10.1k,10.3k,10.4k,10.9k,11.1k,12k,12.7k,13.5k,12.8k,15.1k,17.6k
Haiti,,,,,,,,,,,,,,,,,,,,,1210,1270,1240,1340,1470,1590,1810,1560,1950,2000,2220,2550,2860,3140,4270,5350,6030,6850,7830,8450,16k,17.7k,19.4k,23.2k,26.9k,29.9k,34.2k,36.6k,41.7k,48.5k,48.7k,52.8k,56.6k,62.8k,65.1k,68.4k,79.6k,91.5k,97.7k,114k,128k,148k,187k
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348k,427k,541k,660k,806k,954k,1.06M,1.23M,1.42M,1.62M,1.78M,1.96M,2.1M,2.27M,2.37M,2.54M,2.53M,2.62M,2.72M,2.8M,2.98M,3.17M,3.38M,3.59M,3.85M,4.26M,4.75M,4.85M,5.52M,6.67M
Indonesia,4380,5120,14.2k,33k,71.1k,233k,3000,7890,18.9k,23.9k,28.6k,30.5k,36.2k,52.2k,79.7k,92.1k,112k,133k,155k,211k,293k,343k,372k,443k,511k,548k,582k,689k,769k,889k,1.02M,1.17M,1.31M,1.65M,1.91M,2.23M,2.57M,2.98M,4.34M,4.82M,6.06M,7.3M,8.03M,8.68M,9.7M,11.5M,13.8M,16.1M,20.1M,22.4M,27.4M,30.8M,33.5M,36.6M,39.9M,43M,45.8M,49.8M,53.9M,56.9M,55.2M,60.3M,69.1M
India,394,407,428,480,547,564,624,715,742,799,835,874,943,1120,1300,1360,1440,1590,1690,1820,2120,2420,2640,3010,3290,3630,3970,4400,5100,5720,6530,7340,8260,9330,10.7k,12.4k,14.1k,15.3k,17.2k,19k,20k,21.3k,22.5k,24.8k,27.8k,31.2k,36k,41k,45.4k,51.7k,60.9k,68.9k,77.1k,85.9k,94.2k,103k,113k,125k,137k,144k,140k,163k,188k
Ireland,330,356,383,409,462,493,516,560,631,721,839,946,1120,1320,1440,1790,2150,2570,2950,3410,3970,4730,5380,5830,6290,6730,7190,7710,8310,9210,10k,10.4k,10.8k,11.7k,12.6k,13.9k,15.2k,17.1k,19.4k,21.6k,24.9k,27k,29k,31.4k,33.1k,35.5k,37.9k,38.7k,36.1k,31.2k,30.9k,30.5k,30.9k,32.8k,35.4k,43.1k,46.3k,49.3k,52k,56.2k,56.3k,64.3k,71.6k
Iran,14.5k,14.9k,15.3k,15.6k,16.5k,18.4k,19.6k,21.2k,23.4k,25.6k,28k,34.2k,41.8k,58.8k,97.6k,107k,141k,161k,150k,173k,177k,200k,251k,311k,328k,335k,327k,384k,420k,507k,681k,929k,1.21M,1.78M,2.32M,3.23M,4.37M,5.06M,5.57M,7.38M,9.6M,11.1M,15.2M,18.5M,23.7M,28.9M,34.3M,45M,53.2M,55.2M,66.8M,90.4M,103M,136M,154M,148M,173M,198M,252M,317M,469M,762M,1.14B
Iraq,,,,,,,,,,,,,,,,,,,,,1190,778,829,807,916,908,864,1020,1100,1130,3120,2340,6190,16.7k,81.9k,320k,300k,667k,733k,1.42M,2.03M,1.61M,1.54M,1.09M,1.91M,2.33M,3.13M,3.75M,5.52M,4.43M,5.24M,6.7M,7.54M,7.68M,7.21M,5.11M,5.04M,5.55M,6.57M,6.61M,5.01M,6.85M,8.58M
Iceland,510,567,670,787,988,1170,1380,1380,1450,1780,2290,2890,3570,4940,7080,9880,13.7k,19.8k,30.3k,44.3k,70.6k,108k,166k,282k,366k,499k,660k,859k,1.04M,1.25M,1.45M,1.56M,1.54M,1.57M,1.65M,1.7M,1.82M,1.95M,2.16M,2.3M,2.43M,2.72M,2.98M,3M,3.2M,3.4M,3.69M,4.16M,3.9M,4.1M,4.27M,4.67M,5.03M,5.77M,6.03M,6.6M,7.14M,7.46M,7.65M,8.38M,7.79M,8.31M,9.36M
Israel,0.245,0.286,0.327,0.375,0.411,0.427,0.451,0.436,0.49,0.549,0.721,0.894,1.13,1.41,1.96,2.67,3.45,4.85,7.77,14.3,31.6,74,167,423,1990,7370,11.5k,14.7k,18k,21.2k,25.8k,31.7k,36.9k,41.5k,48.8k,55.5k,62.3k,68k,73.9k,78.3k,82.8k,84.4k,87k,86.3k,89.5k,94.4k,99.8k,105k,106k,109k,115k,121k,125k,131k,136k,140k,143k,147k,152k,158k,153k,166k,181k
Italy,260,287,320,364,395,423,455,497,536,588,686,745,812,972,1220,1390,1740,2100,2470,3020,3760,4470,5270,6140,7010,7860,8670,9500,10.6k,11.6k,12.7k,13.9k,14.6k,15k,15.9k,17.2k,18.2k,19.1k,19.9k,20.6k,21.7k,22.8k,23.6k,24.2k,25.1k,25.8k,26.8k,27.7k,27.6k,26.7k,27.1k,27.7k,27.2k,26.7k,26.8k,27.1k,28.1k,28.8k,29.6k,30.3k,28.3k,30.8k,32.8k
Jamaica,297,313,316,339,363,388,413,433,471,513,602,641,738,870,1120,1310,1300,1400,1700,1890,2060,2320,2530,3000,3670,4410,5850,6910,8140,9810,12.5k,18.4k,30.6k,53.2k,67.9k,86.9k,105k,112k,120k,129k,142k,153k,167k,193k,220k,246k,277k,311k,353k,370k,406k,436k,470k,504k,542k,576k,602k,656k,694k,729k,674k,759k,901k
Jordan,,,,,,199,204,182,151,175,151,151,168,179,216,238,293,348,388,465,530,640,699,717,717,703,760,734,708,699,752,739,872,900,967,1010,1020,1050,1140,1150,1200,1250,1300,1360,1500,1610,1810,1940,2470,2610,2760,2920,3080,3150,2990,2850,2820,2880,2930,2950,2820,2860,2950
Japan,170k,204k,229k,259k,302k,332k,382k,443k,519k,603k,749k,807k,912k,1.1M,1.29M,1.41M,1.56M,1.72M,1.88M,2.03M,2.18M,2.32M,2.42M,2.5M,2.65M,2.83M,2.94M,3.05M,3.27M,3.51M,3.78M,3.99M,4.08M,4.09M,4.12M,4.19M,4.31M,4.37M,4.3M,4.22M,4.28M,4.25M,4.18M,4.17M,4.22M,4.26M,4.3M,4.34M,4.23M,3.96M,4.05M,4M,4.03M,4.13M,4.23M,4.4M,4.43M,4.52M,4.56M,4.58M,4.42M,4.58M,4.73M
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,26.1k,63.7k,90k,108k,113k,131k,164k,208k,244k,293k,366k,452k,590k,727k,870k,943k,1.16M,1.46M,1.6M,1.89M,2.06M,2.18M,2.38M,2.69M,2.97M,3.29M,3.43M,3.88M,4.55M
Kenya,705,684,722,738,765,737,823,836,884,926,984,1050,1200,1320,1550,1700,1980,2460,2620,2880,3230,3580,3870,4260,4600,5010,5630,6060,6590,7390,8120,8950,10.3k,12.3k,14.6k,16.7k,24.4k,26.8k,28.9k,29.9k,31.1k,31.7k,31.3k,33.1k,36.3k,39.5k,50.3k,56.3k,63.3k,70.9k,76.1k,87.4k,97k,105k,116k,132k,156k,170k,184k,198k,203k,223k,244k
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,164,1180,2610,3460,4950,6300,6820,9470,12.5k,14.4k,14.6k,16.1k,17.6k,18.8k,21.4k,26.6k,33.9k,35.9k,37.9k,46.3k,54k,58.5k,65.8k,69.4k,74.2k,81.5k,87.3k,87.5k,88.4k,103k,129k
Cambodia,4030,3970,3990,4320,4540,4930,5100,5230,5680,6230,5940,10.4k,12.2k,25.1k,68.4k,,,,,,,,,,,,,,,,,,,,,759k,803k,877k,987k,1.09M,1.12M,1.22M,1.28M,1.39M,1.58M,1.86M,2.12M,2.46M,2.89M,2.91M,3.16M,3.42M,3.65M,3.87M,4.19M,4.5M,4.93M,5.38M,5.88M,6.4M,6.2M,6.31M,6.96M
Kiribati,,,,,,,,,,,,,,,,,,,740,726,602,575,701,787,679,666,671,799,847,837,877,1280,1350,1350,1440,1510,1430,1790,2120,1990,2120,2330,2300,2230,2110,2120,2050,2220,2350,2210,2300,2220,2490,2780,3240,4010,3610,3900,4020,4290,3840,4100,4690
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,2680,2990,3590,4210,5020,5470,5580,6290,7030,8310,9470,11k,12.1k,14.1k,14.2k,15.3k,16.4k,18.1k,19.2k,19.9k,21.9k,21.8k,22.8k,23.2k,24.9k,25.8k,24.8k,27.1k,29.6k,35.3k,37.8k,42.6k,42.3k,42.7k,45.8k,45.3k,48.6k,50k,50.4k,53.6k,57.1k,58.2k,61.4k,49.3k,48.2k,51.5k
South Korea,10.1k,11.9k,14k,19.2k,26.7k,29.4k,37k,44.9k,56.4k,72k,88.3k,105k,128k,162k,229k,296k,402k,510k,682k,862k,1.03M,1.27M,1.44M,1.69M,1.92M,2.11M,2.45M,2.89M,3.45M,3.89M,4.67M,5.59M,6.34M,7.12M,8.32M,9.66M,10.7M,11.7M,11.5M,12.5M,13.8M,14.8M,16.4M,17.4M,18.9M,19.7M,20.7M,22.3M,23.5M,24.4M,26.7M,28M,29M,30M,30.9M,32.6M,34.1M,35.9M,36.9M,37.5M,37.8M,40.5M,42.2M
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2080,2310,2610,2740,2860,3000,3230,3440,3620,3780,4030,3870,4540,5130
Kuwait,,,,,,1150,1210,1180,1160,1130,1060,1300,1210,1300,3430,3490,3660,3650,3750,5460,6060,5790,4810,4350,4360,4160,3790,3800,3660,4350,4500,3480,4540,5070,5070,5780,6450,6310,5330,5710,7040,6130,6160,7270,8970,11.7k,14.1k,14.4k,16k,11.6k,12.2k,14.3k,15.1k,14.6k,13.5k,9800,9120,10.3k,10.9k,10.6k,8540,11.1k,14.7k
Lao,,,,,,,,,,,,,,,,,,,,,,,,,16.9k,28.5k,43.9k,48.1k,57.6k,99.3k,142k,163k,177k,203k,230k,287k,341k,417k,781k,1.9M,2.41M,2.73M,3.04M,3.53M,4.16M,4.86M,5.57M,6.48M,7.39M,7.75M,8.72M,10.2M,11.8M,13.5M,15.3M,16.5M,18M,19.1M,20.5M,21.2M,22.1M,23.2M,27.5M
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480k,669k,1.21M,2.78M,3.7M,4.29M,5M,5.49M,6.02M,6.31M,6.24M,6.13M,6.04M,6.2M,5.61M,6.7M,6.92M,7.08M,8.02M,9.11M,10.7M,11.4M,11.9M,12.8M,12.4M,11.4M,11.6M,12.1M,13M,13.6M,13.5M,20M,45.5M,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,251,249,193,234,243,280,336,414,416,452,544,584,650,640,639,662,644,611,595,568,634,708
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4870,6190,7560,10.5k,13.2k,14.3k,17.2k,12.1k,14.7k,9540,19.5k,15.9k,12.1k,11.1k,11.2k,15k,16.4k,15.1k,9940,26.2k,32.6k
St. Lucia,,,,,,,,,,,,,,,,,,,,,3560,3990,3680,3910,4940,5470,6460,7030,7850,8810,9890,10.3k,11.3k,11.2k,11.5k,12.1k,12.5k,12.6k,13.6k,14.2k,15k,14.2k,14.4k,15.5k,16.4k,17.4k,19.7k,20.4k,21.9k,21.6k,22.8k,24.3k,24.3k,25.2k,25.4k,25.4k,26.8k,28.6k,29.6k,29.8k,22.4k,25.1k,29.9k
Liechtenstein,,,,,,,,,,,18.4k,19.8k,21.4k,23.2k,25.1k,27.1k,28.6k,30.1k,31.7k,33.4k,35.2k,39k,40.6k,41.5k,43.9k,47.7k,50.7k,56k,59.8k,63.5k,67.5k,71.7k,76.2k,81k,86k,91.4k,97.1k,103k,110k,119k,125k,113k,110k,104k,104k,112k,126k,141k,140k,118k,124k,111k,97.8k,129k,133k,133k,157k,175k,177k,162k,166k,,
Sri Lanka,684,668,681,692,722,726,737,779,890,959,1030,1010,1090,1270,1600,1730,1850,2210,2710,3560,4500,5560,6490,7730,9410,10k,11k,11.8k,13.2k,14.7k,18.6k,21.2k,24.1k,28k,32k,36.3k,41.3k,47.7k,54k,58.2k,65.7k,73.1k,81.5k,93.6k,106k,123k,146k,176k,212k,233k,317k,356k,420k,460k,496k,529k,583k,653k,690k,710k,696k,777k,1.06M
Lesotho,,,,,,,57.8,57.6,58.3,60.3,61.8,66.2,75.6,100,138,153,198,241,290,310,384,439,507,560,624,692,809,886,1060,1210,1380,1630,1860,2020,2240,2510,2790,3090,3320,3660,3930,5140,5930,6280,6740,7020,7680,8330,9910,9670,10.4k,11k,11.6k,12.6k,14.1k,15.9k,16.5k,16.1k,17.2k,18k,18.3k,18.4k,21.3k
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130,2670,3220,3590,3520,3750,4030,4360,4750,5270,6210,7210,8630,9890,8700,8990,10k,10.8k,11.6k,12.3k,12.4k,13.1k,14.4k,15.7k,16.9k,17.3k,19.3k,22.8k
Luxembourg,1940,1930,2010,2120,2390,2420,2510,2530,2760,3180,4020,4070,4600,5480,6690,6570,7720,8080,8820,9580,10.6k,11.7k,14.3k,16.2k,17.7k,18.8k,20.1k,21k,22.8k,25.5k,27.6k,30.4k,31.5k,33.7k,34.4k,36.3k,37.7k,40k,40k,44k,46.6k,48.2k,47.3k,47k,55.5k,59.3k,57.9k,66.7k,64.1k,50k,56.8k,59.3k,67.3k,64.8k,67.6k,61.2k,64k,69.8k,70.7k,67.7k,71k,78.9k,82.5k
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1920,2230,2510,2600,2900,3210,3650,4160,4800,6040,7560,10k,11.1k,9490,8710,9590,10.7k,11.3k,11.9k,12.4k,12.9k,13.9k,14.9k,15.8k,15.9k,17.6k,20.4k
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,27.9k,32.2k,38.5k,38.1k,41.6k,51.4k,57.7k,65.4k,74.7k,83.7k,106k,119k,129k,140k,137k,136k,124k,115k,115k,125k,130k,139k,169k,186k,211k,282k,279k,283k,358k,443k,498k,576k,610k,522k,519k,564k,605k,594k,356k,348k,
Morocco,882,853,973,1070,1100,1100,1040,1080,1120,1220,1300,1390,1430,1530,1960,2080,2360,2690,2890,3160,4230,4380,4920,5210,5760,6420,7520,7560,8520,8870,9760,10.8k,10.9k,10.9k,12.1k,12k,13.5k,13.2k,15.7k,15.7k,15.6k,16.7k,17.3k,18.3k,19.1k,19.8k,21.3k,22.5k,24.6k,24.8k,25.5k,26.3k,26.8k,28k,28.3k,30.2k,30.3k,31.4k,32.3k,33.1k,30.6k,33.7k,35.4k
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,3140,3160,4330,5750,7020,8520,10.6k,12.6k,14.8k,17.4k,20.3k,24.1k,22.3k,32.3k,36.9k,40.3k,45.7k,50.2k,54.7k,60k,67.6k,73.2k,81.5k,78.4k,94.4k,106k
Madagascar,6330,6410,6600,6610,6810,6880,7490,7740,8120,8470,9280,9670,9580,10.1k,12.2k,12.6k,13k,14.1k,14.3k,16.9k,24.4k,27.6k,34.6k,40.4k,43.3k,47.3k,53.6k,59.7k,75.6k,83k,94.8k,92.7k,105k,115k,154k,226k,271k,285k,305k,333k,378k,421k,417k,438k,511k,611k,692k,794k,885k,877k,943k,1.03M,1.07M,1.12M,1.21M,1.29M,1.42M,1.52M,1.65M,1.79M,1.7M,1.89M,2.01M
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4360,5360,6580,7130,8230,9400,11k,12.3k,14.4k,17.3k,19.1k,21k,22k,23.6k,24.8k,36k,38.3k,43.8k,50.5k,47.2k,62.5k,62.5k,75.6k,76.6k,80.6k,96.7k,104k,112k,123k,133k,136k,143k,151k,154k,103k,145k,165k
Mexico,4.37,4.6,4.79,5.17,5.89,6.21,6.67,7.17,7.67,8.21,8.67,9.27,10.4,12.3,15.5,18.3,22.1,28.9,35.4,45.1,67.5,89.8,138,245,398,639,1020,2500,5020,6540,8690,11k,12.9k,17.6k,19.7k,24.7k,32.9k,41.4k,49.5k,58.3k,66.9k,69.8k,72.6k,75.5k,83.7k,88.8k,97.9k,104k,111k,108k,117k,126k,134k,135k,144k,151k,161k,174k,185k,190k,180k,198k,219k
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010,2620,2610,2690,2770,2800,2940,3070,3080,3100,3290,3340,3540,3510,3560,3680,3920,4000,4310,4510,4960,5340,5640,5950,6420,6770,6980,8040
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,472,5970,30.5k,76.7k,89.1k,92k,96.6k,101k,107k,120k,123k,127k,131k,137k,149k,163k,174k,200k,201k,210k,221k,222k,237k,250k,261k,276k,286k,305k,318k,311k,333k,370k
Mali,,,,,,,,11.5k,14.2k,14.5k,15.9k,17.4k,19.3k,19.4k,19.6k,26.3k,32.7k,37.2k,39.4k,46.6k,49.9k,54.2k,55.8k,61.4k,65.9k,75k,75.9k,73.4k,74.1k,79.3k,81.1k,84.1k,80.3k,84k,118k,134k,138k,149k,159k,191k,185k,209k,213k,214k,218k,242k,255k,267k,292k,305k,327k,368k,370k,372k,393k,418k,433k,447k,461k,472k,454k,466k,499k
Malta,,,,,,,,,,,866,893,938,1050,1220,1550,1860,2170,2440,2770,3430,3840,4050,3850,3930,3930,4050,4320,4690,5170,5720,6040,6400,6740,7180,8230,8520,8990,9320,10k,10.2k,11k,11.5k,12k,12.2k,12.4k,12.8k,13.5k,14.9k,14.4k,15.6k,16.2k,16.7k,17.7k,19.1k,21.2k,20.9k,23k,24.8k,25.8k,23.1k,26.8k,29.7k
