country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,17.2k,17.9k,19.3k,19.5k,20k,19.9k,20.3k,20.7k,21k,22.5k,22.6k,23.2k,25.1k,25.4k,30k,32.4k,36.9k,42.5k,50.2k,54.8k,58.7k,67.4k,78.3k,80.5k,82k,87.1k,85.7k,84.1k,89.5k,93.4k,92.3k,94.2k,92.2k,91.5k,103k,114k,125k,131k,148k,181k,177k,190k,197k,209k,212k,231k,238k,247k,276k,280k,301k,329k,365k,366k,362k,357k,377k,397k,419k,429k,446k,470k,489k
Bangladesh,,,,,,,,,,,,,,887,1370,2310,1960,1900,2500,2890,3350,3910,4270,4730,5200,6140,6780,7670,8260,9000,9900,10.3k,11k,11.4k,12.1k,13.3k,16.3k,17.4k,18.8k,20k,21.5k,22.8k,24.4k,26.5k,28.8k,31.7k,35.7k,40.6k,46.6k,51.9k,58.1k,65.8k,75.3k,84.1k,91.9k,102k,136k,149k,168k,186k,197k,219k,241k
Bulgaria,,,,,,,,,,,,,,,,,,,,,2.86,3.1,3.23,3.32,3.53,3.62,3.82,4.03,4.19,4.33,4.79,14.1,23.1,34.7,61,148,253,2220,3140,3010,3360,3880,4440,4790,5400,6160,6880,7800,9250,9520,9910,10.7k,11.2k,11.1k,11.5k,12.1k,13k,14.2k,15.1k,16.8k,16.8k,19.7k,24.8k
Bahrain,,,,,,,,,,,,,,,,,,,,,2980,3430,3490,3480,3400,2840,2220,2410,2540,2630,3230,3380,3240,3280,3370,3550,3610,3520,3370,3450,4670,4460,4560,5110,5670,6490,7020,7740,8390,6550,7230,7760,9130,9340,9110,8090,8120,8640,9030,9160,8190,9450,10.6k
Bahamas,1330,1420,1510,1610,1730,1860,2020,2220,2420,2750,2850,2940,2960,3280,3350,4060,2750,2990,3280,4590,5370,5590,6230,6740,7780,8700,9130,9900,10.2k,11k,11.1k,10.6k,10.7k,10.3k,10.6k,13k,14.5k,19.9k,21k,23.6k,24.4k,24.6k,26k,25.8k,26k,27.8k,28.2k,29k,28.8k,26.7k,26.4k,26k,27.4k,26.5k,27.6k,28.7k,28.4k,29.5k,29.6k,30.8k,22.9k,26.5k,29.8k
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,621,987,1480,2110,2390,3100,3270,3540,3690,4220,4490,5090,5790,6710,6640,6760,7060,7190,7500,7720,8260,8710,9170,9930,10.6k,10.4k,11.8k,14k
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40µ,90µ,0.0009,0.00963,0.174,1.19,1.89,3.62,6.97,30.2,91.1,172,264,374,513,675,823,1010,1340,1460,1760,3210,5670,6850,8270,9100,9550,10.8k,12.5k,13.9k,15.3k,18.3k,20.1k
Belize,437,453,471,485,506,544,585,614,631,645,711,759,808,954,1230,1460,1480,1650,1860,2070,2700,2610,2330,2390,2590,2480,2700,3220,3590,4020,5930,6320,7130,7540,7520,7820,7860,7780,7840,8030,8840,8830,9110,9160,9350,9610,10.1k,10.3k,10.2k,10.1k,9930,10.5k,10.6k,11.1k,11.4k,11.8k,11.7k,11.5k,11.3k,11.6k,10.2k,12.1k,13.3k
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104k,100k,103k,104k,102k,106k,110k,116k,117k,118k,111k,117k,122k
Bolivia,,,,,,,,,,,,,,,,,0.0103,0.0118,0.0133,0.0154,0.0182,0.0231,0.0554,0.192,2.89,345,1080,1250,1500,1730,2070,2520,2870,3130,3480,3980,4570,4990,5540,5570,5880,5990,6200,6580,7220,7890,9280,10.2k,11.8k,11.6k,12.9k,15.3k,16.6k,18.5k,19.8k,19.9k,20.4k,22k,23.4k,23.5k,21k,22.5k,23.6k
